Year,Series,Enfermedad no transmisible,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2016,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,249.8
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,73.5
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,65.2
2012,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,263.6
2019,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,248.3
2021,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,264.4
2019,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,19.5
2013,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,25.3
2015,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,274.1
2013,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,260.5
2022,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,24.1
2022,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,269.7
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,54.6
2023,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,278.5
2014,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,19.9
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,58.7
2016,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,18.4
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,79.3
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,613.0
2010,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,254.3
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,608.3
2011,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,249.5
2014,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,230.9
2012,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.8
2012,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,251.4
2018,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,253.9
2023,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,264.8
2017,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,253.9
2019,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,257.9
2021,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,284.9
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,75.2
2021,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,18.3
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,621.2
2010,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,26.1
2020,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,266.1
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,595.4
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,599.2
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,627.4
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,53.6
2010,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,250.3
2017,Tasa de mortalidad,Cáncer,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,274.4
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,71.9
2022,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,264.6
2015,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,20.3
2013,Tasa de mortalidad,Enfermedades cardiovasculares,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,244.4
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,592.1
2020,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,21.7
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,605.6
2023,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,25.4
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,613.5
2011,Tasa de mortalidad,Diabetes,,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,22.0
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",,Gipuzkoa,,,Por 100.000 habitantes,Gipuzkoa,603.6
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,269.1
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,553.0
2019,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,22.8
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,271.6
2012,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,193.8
2014,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,216.6
2015,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,218.4
2016,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,20.2
2018,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,213.6
2021,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,220.5
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,581.7
2022,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,228.0
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,262.6
2011,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,24.5
2019,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Porcentaje,,6.5
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,550.5
2010,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,195.2
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,556.0
2020,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,23.2
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,267.0
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,275.6
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,538.5
2021,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,23.1
2015,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Porcentaje,,6.6
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,252.4
2014,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,22.4
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,567.0
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,272.8
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,260.7
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,60.0
2013,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,199.0
2012,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,24.3
2016,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,215.0
2022,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,22.8
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,262.0
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,49.8
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,53.7
2017,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,18.5
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,573.5
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,566.5
2010,Tasa de mortalidad prematura (entre 30 y 70 años),"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Porcentaje,,6.7
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,60.5
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,572.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,580.4
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,275.9
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,76.2
2020,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,210.6
2010,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,26.6
2023,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,213.6
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,257.0
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,554.2
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,60.1
2017,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,215.4
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,68.2
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,68.1
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,51.7
2011,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,209.7
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,269.6
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,52.5
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,586.7
2013,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,27.0
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,550.8
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,43.8
2015,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,24.2
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,75.0
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,50.0
2023,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,23.5
2018,Tasa de mortalidad,Diabetes,Mujer,,,,Por 100.000 habitantes,,22.2
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,279.1
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,,,,Por 100.000 habitantes,,536.9
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,,,,Por 100.000 habitantes,,265.1
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,,,,Por 100.000 habitantes,,67.9
2019,Tasa de mortalidad,Cáncer,Mujer,,,,Por 100.000 habitantes,,215.3
2013,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,214.9
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,62.1
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,42.3
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,58.7
2010,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,453.1
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,64.0
2014,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,14.8
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,48.8
2012,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,454.1
2016,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,468.7
2021,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,37.5
2019,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,14.9
2013,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,57.6
2014,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,48.1
2017,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,61.3
2021,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,202.8
2017,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,500.8
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,38.2
2022,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,17.7
2012,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.2
2016,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,18.9
2013,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.8
2010,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,28.2
2022,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,208.2
2011,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,453.0
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,247.0
2022,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,224.8
2020,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,180.4
2021,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,201.6
2020,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.1
2018,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,20.5
2015,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,526.7
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,464.5
2017,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,20.0
2018,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,197.6
2017,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,213.1
2018,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,448.8
2015,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,22.1
2020,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,426.3
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,213.9
2013,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,470.1
2015,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,224.7
2017,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,206.4
2023,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,191.7
2014,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,196.1
2018,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,168.7
2012,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,161.7
2015,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,220.4
2011,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,207.2
2019,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,187.7
2011,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,174.2
2010,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,224.0
2014,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,178.9
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,496.3
2011,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,29.2
2019,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,471.7
2020,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,178.0
2010,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,160.0
2022,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,498.7
2012,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,227.4
2013,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,177.8
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,59.5
2022,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,47.9
2016,Tasa de mortalidad,Cáncer,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,177.2
2019,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,205.0
2014,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,437.9
2010,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,40.8
2021,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,22.6
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,45.8
2023,Tasa de mortalidad,Diabetes,Mujer,Araba/Álava,,,Por 100.000 habitantes,Araba/Álava,19.4
2013,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,28.5
2012,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,60.0
2016,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,295.8
2019,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,26.1
2023,Tasa de mortalidad,Enfermedades cardiovasculares,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,258.7
2021,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,25.7
2023,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,53.2
2018,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,80.8
2022,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,245.7
2019,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,71.1
2021,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,591.7
2020,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,225.3
2011,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,53.3
2023,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,222.4
2016,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,234.5
2020,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,51.6
2014,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,231.8
2012,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,205.2
2015,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,220.2
2017,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,19.1
2018,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,224.1
2022,Tasa de mortalidad,Diabetes,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,23.6
2011,Tasa de mortalidad,Cáncer,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,222.7
2023,Tasa de mortalidad,"Enfermedades cardiovasculares, respiratorias crónicas, cáncer o diabetes",Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,556.6
2015,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,72.3
2016,Tasa de mortalidad,Enfermedades respiratorias crónicas,Mujer,Bizkaia,,,Por 100.000 habitantes,Bizkaia,68.6
