Year,Lanbidea,Sexua,Lurralde historikoa,Units,Value
2010,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,138.2
2011,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,141.7
2016,Erizaintzako eta obstetriziako profesionalak,Emakumea,Araba / Álava,10.000 biztanleko,151.9
2023,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,135.6
2011,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,116.6
2019,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,128.9
2017,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,126.4
2021,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,132.2
2018,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,128.0
2014,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,120.1
2022,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,133.4
2010,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,112.5
2012,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,117.4
2016,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,125.0
2015,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,122.9
2020,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,130.9
2013,Erizaintzako eta obstetriziako profesionalak,Emakumea,Bizkaia,10.000 biztanleko,117.7
2019,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,133.4
2021,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,136.0
2012,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,125.1
2013,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,128.3
2015,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,131.4
2017,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,131.4
2010,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,128.2
2014,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,130.6
2016,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,132.2
2011,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,126.1
2023,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,183.7
2022,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,137.4
2018,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,131.0
2020,Erizaintzako eta obstetriziako profesionalak,Emakumea,Gipuzkoa,10.000 biztanleko,135.2
2012,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,14.5
2010,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,12.5
2021,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,17.8
2013,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,13.4
2015,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,14.3
2023,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,20.9
2018,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,15.6
2014,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,13.9
2016,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,14.9
2017,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,15.1
2019,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,16.4
2011,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,14.5
2022,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,18.3
2020,Erizaintzako eta obstetriziako profesionalak,Gizona,,10.000 biztanleko,17.5
2022,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,19.6
2011,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,12.3
2016,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,14.8
2012,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,12.4
2018,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,16.4
2014,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,13.7
2019,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,17.1
2023,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,20.2
2017,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,15.5
2015,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,13.9
2021,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,19.5
2020,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,18.0
2010,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,12.3
2013,Erizaintzako eta obstetriziako profesionalak,Gizona,Araba / Álava,10.000 biztanleko,12.6
2016,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,17.6
2010,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,15.2
2013,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,16.2
2014,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,16.5
2011,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,15.9
2020,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,20.8
2021,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,21.0
2017,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,17.9
2023,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,22.5
2022,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,21.6
2012,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,16.1
2018,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,18.5
2019,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,19.4
2015,Erizaintzako eta obstetriziako profesionalak,Gizona,Bizkaia,10.000 biztanleko,17.0
2022,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,12.5
2011,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,13.3
2013,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,9.4
2012,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,12.9
2010,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,8.1
2017,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,10.4
2019,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,11.3
2023,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,18.7
2015,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,10.1
2020,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,12.0
2018,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,10.7
2016,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,10.5
2014,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,9.7
2021,Erizaintzako eta obstetriziako profesionalak,Gizona,Gipuzkoa,10.000 biztanleko,12.1
2012,Dentista,,,10.000 biztanleko,7.6
2014,Dentista,,,10.000 biztanleko,7.9
2015,Dentista,,,10.000 biztanleko,8.2
2011,Dentista,,,10.000 biztanleko,7.4
2021,Dentista,,,10.000 biztanleko,9.0
2022,Dentista,,,10.000 biztanleko,9.0
2010,Dentista,,,10.000 biztanleko,7.3
2020,Dentista,,,10.000 biztanleko,8.7
2013,Dentista,,,10.000 biztanleko,7.8
2017,Dentista,,,10.000 biztanleko,8.5
2019,Dentista,,,10.000 biztanleko,8.7
2016,Dentista,,,10.000 biztanleko,8.4
2018,Dentista,,,10.000 biztanleko,8.6
2023,Dentista,,,10.000 biztanleko,9.1
2013,Dentista,,Araba / Álava,10.000 biztanleko,6.0
2014,Dentista,,Araba / Álava,10.000 biztanleko,6.3
2011,Dentista,,Araba / Álava,10.000 biztanleko,5.8
2018,Dentista,,Araba / Álava,10.000 biztanleko,6.4
2020,Dentista,,Araba / Álava,10.000 biztanleko,6.7
2016,Dentista,,Araba / Álava,10.000 biztanleko,6.5
2022,Dentista,,Araba / Álava,10.000 biztanleko,6.4
2021,Dentista,,Araba / Álava,10.000 biztanleko,6.6
2019,Dentista,,Araba / Álava,10.000 biztanleko,6.7
2017,Dentista,,Araba / Álava,10.000 biztanleko,6.3
2015,Dentista,,Araba / Álava,10.000 biztanleko,6.5
2023,Dentista,,Araba / Álava,10.000 biztanleko,6.4
2012,Dentista,,Araba / Álava,10.000 biztanleko,5.7
2010,Dentista,,Araba / Álava,10.000 biztanleko,5.6
2011,Dentista,,Bizkaia,10.000 biztanleko,7.9
2014,Dentista,,Bizkaia,10.000 biztanleko,8.3
2010,Dentista,,Bizkaia,10.000 biztanleko,7.7
2016,Dentista,,Bizkaia,10.000 biztanleko,8.7
2015,Dentista,,Bizkaia,10.000 biztanleko,8.5
2013,Dentista,,Bizkaia,10.000 biztanleko,8.1
2020,Dentista,,Bizkaia,10.000 biztanleko,9.1
2022,Dentista,,Bizkaia,10.000 biztanleko,9.3
2018,Dentista,,Bizkaia,10.000 biztanleko,9.1
2023,Dentista,,Bizkaia,10.000 biztanleko,9.3
2021,Dentista,,Bizkaia,10.000 biztanleko,9.2
2019,Dentista,,Bizkaia,10.000 biztanleko,9.1
2017,Dentista,,Bizkaia,10.000 biztanleko,8.9
2012,Dentista,,Bizkaia,10.000 biztanleko,7.9
2010,Dentista,,Gipuzkoa,10.000 biztanleko,7.3
2011,Dentista,,Gipuzkoa,10.000 biztanleko,7.3
2013,Dentista,,Gipuzkoa,10.000 biztanleko,8.1
2015,Dentista,,Gipuzkoa,10.000 biztanleko,8.5
2014,Dentista,,Gipuzkoa,10.000 biztanleko,8.0
2012,Dentista,,Gipuzkoa,10.000 biztanleko,8.0
2021,Dentista,,Gipuzkoa,10.000 biztanleko,9.7
2019,Dentista,,Gipuzkoa,10.000 biztanleko,8.9
2017,Dentista,,Gipuzkoa,10.000 biztanleko,8.7
2022,Dentista,,Gipuzkoa,10.000 biztanleko,9.8
2020,Dentista,,Gipuzkoa,10.000 biztanleko,9.1
2018,Dentista,,Gipuzkoa,10.000 biztanleko,8.8
2016,Dentista,,Gipuzkoa,10.000 biztanleko,8.7
2023,Dentista,,Gipuzkoa,10.000 biztanleko,10.0
2023,Dentista,Emakumea,,10.000 biztanleko,11.6
2011,Dentista,Emakumea,,10.000 biztanleko,6.9
2012,Dentista,Emakumea,,10.000 biztanleko,9.0
2020,Dentista,Emakumea,,10.000 biztanleko,11.1
2019,Dentista,Emakumea,,10.000 biztanleko,10.7
2021,Dentista,Emakumea,,10.000 biztanleko,11.3
2022,Dentista,Emakumea,,10.000 biztanleko,11.4
2015,Dentista,Emakumea,,10.000 biztanleko,9.9
2016,Dentista,Emakumea,,10.000 biztanleko,10.2
2013,Dentista,Emakumea,,10.000 biztanleko,9.3
2010,Dentista,Emakumea,,10.000 biztanleko,6.8
2017,Dentista,Emakumea,,10.000 biztanleko,10.4
2014,Dentista,Emakumea,,10.000 biztanleko,9.5
2018,Dentista,Emakumea,,10.000 biztanleko,10.7
2016,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.3
2019,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.5
2010,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,5.4
2014,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.0
2013,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,7.7
2012,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,7.2
2017,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,7.9
2021,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.2
2023,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.2
2022,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.1
2018,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.0
2011,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,5.6
2015,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.2
2020,Dentista,Emakumea,Araba / Álava,10.000 biztanleko,8.5
2011,Dentista,Emakumea,Bizkaia,10.000 biztanleko,7.3
2022,Dentista,Emakumea,Bizkaia,10.000 biztanleko,11.9
2010,Dentista,Emakumea,Bizkaia,10.000 biztanleko,7.2
2012,Dentista,Emakumea,Bizkaia,10.000 biztanleko,9.2
2016,Dentista,Emakumea,Bizkaia,10.000 biztanleko,10.4
2018,Dentista,Emakumea,Bizkaia,10.000 biztanleko,11.2
2014,Dentista,Emakumea,Bizkaia,10.000 biztanleko,9.7
2023,Dentista,Emakumea,Bizkaia,10.000 biztanleko,11.9
2017,Dentista,Emakumea,Bizkaia,10.000 biztanleko,10.8
2015,Dentista,Emakumea,Bizkaia,10.000 biztanleko,10.1
2013,Dentista,Emakumea,Bizkaia,10.000 biztanleko,9.4
2020,Dentista,Emakumea,Bizkaia,10.000 biztanleko,11.4
2021,Dentista,Emakumea,Bizkaia,10.000 biztanleko,11.7
2019,Dentista,Emakumea,Bizkaia,10.000 biztanleko,11.3
2011,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,6.7
2010,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,6.7
2015,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,10.3
2017,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,10.8
2021,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,12.1
2013,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,9.6
2018,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,11.1
2016,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,10.7
2014,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,9.8
2012,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,9.5
2019,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,10.6
2023,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,12.6
2020,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,11.8
2022,Dentista,Emakumea,Gipuzkoa,10.000 biztanleko,12.2
2010,Dentista,Gizona,,10.000 biztanleko,7.8
2019,Dentista,Gizona,,10.000 biztanleko,6.6
2021,Dentista,Gizona,,10.000 biztanleko,6.5
2023,Dentista,Gizona,,10.000 biztanleko,6.4
2017,Dentista,Gizona,,10.000 biztanleko,6.4
2022,Dentista,Gizona,,10.000 biztanleko,6.5
2013,Dentista,Gizona,,10.000 biztanleko,6.2
2015,Dentista,Gizona,,10.000 biztanleko,6.4
2016,Dentista,Gizona,,10.000 biztanleko,6.4
2012,Dentista,Gizona,,10.000 biztanleko,6.1
2014,Dentista,Gizona,,10.000 biztanleko,6.2
2020,Dentista,Gizona,,10.000 biztanleko,6.2
2018,Dentista,Gizona,,10.000 biztanleko,6.4
2011,Dentista,Gizona,,10.000 biztanleko,7.9
2014,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.5
2018,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.7
2019,Dentista,Gizona,Araba / Álava,10.000 biztanleko,5.0
2017,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.6
2020,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.9
2012,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.2
2022,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.7
2021,Dentista,Gizona,Araba / Álava,10.000 biztanleko,5.0
2023,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.6
2010,Dentista,Gizona,Araba / Álava,10.000 biztanleko,5.9
2016,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.7
2013,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.3
2011,Dentista,Gizona,Araba / Álava,10.000 biztanleko,6.0
2015,Dentista,Gizona,Araba / Álava,10.000 biztanleko,4.7
2012,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.4
2014,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.7
2018,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.8
2010,Dentista,Gizona,Bizkaia,10.000 biztanleko,8.3
2015,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.8
2019,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.8
2013,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.6
2021,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.5
2011,Dentista,Gizona,Bizkaia,10.000 biztanleko,8.4
2017,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.9
2023,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.4
2022,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.5
2020,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.5
2016,Dentista,Gizona,Bizkaia,10.000 biztanleko,6.8
2011,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,8.0
2014,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.1
2018,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.5
2012,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.5
2020,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.4
2010,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,7.9
2016,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.6
2022,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,7.3
2021,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,7.2
2019,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,7.0
2015,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.6
2023,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,7.3
2017,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.5
2013,Dentista,Gizona,Gipuzkoa,10.000 biztanleko,6.5
2012,Farmazeutikoa,,,10.000 biztanleko,14.1
2013,Farmazeutikoa,,,10.000 biztanleko,14.4
2011,Farmazeutikoa,,,10.000 biztanleko,13.8
2020,Farmazeutikoa,,,10.000 biztanleko,16.2
2022,Farmazeutikoa,,,10.000 biztanleko,16.8
2019,Farmazeutikoa,,,10.000 biztanleko,16.0
2016,Farmazeutikoa,,,10.000 biztanleko,15.4
2017,Farmazeutikoa,,,10.000 biztanleko,15.6
2023,Farmazeutikoa,,,10.000 biztanleko,16.7
2010,Farmazeutikoa,,,10.000 biztanleko,13.6
2021,Farmazeutikoa,,,10.000 biztanleko,16.4
2014,Farmazeutikoa,,,10.000 biztanleko,14.7
2018,Farmazeutikoa,,,10.000 biztanleko,15.9
2015,Farmazeutikoa,,,10.000 biztanleko,14.9
2010,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,13.8
2021,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,16.5
2018,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,16.0
2019,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,16.2
2020,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,16.5
2011,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,14.1
2022,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,17.3
2012,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,14.4
2013,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,14.7
2023,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,17.1
2015,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,15.2
2016,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,15.7
2017,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,15.8
2014,Farmazeutikoa,,Araba / Álava,10.000 biztanleko,15.0
2011,Farmazeutikoa,,Bizkaia,10.000 biztanleko,14.1
2010,Farmazeutikoa,,Bizkaia,10.000 biztanleko,14.0
2015,Farmazeutikoa,,Bizkaia,10.000 biztanleko,15.2
2017,Farmazeutikoa,,Bizkaia,10.000 biztanleko,15.8
2021,Farmazeutikoa,,Bizkaia,10.000 biztanleko,16.4
2013,Farmazeutikoa,,Bizkaia,10.000 biztanleko,14.5
2018,Farmazeutikoa,,Bizkaia,10.000 biztanleko,16.0
2022,Farmazeutikoa,,Bizkaia,10.000 biztanleko,16.6
2016,Farmazeutikoa,,Bizkaia,10.000 biztanleko,15.6
2014,Farmazeutikoa,,Bizkaia,10.000 biztanleko,14.8
2020,Farmazeutikoa,,Bizkaia,10.000 biztanleko,16.1
2012,Farmazeutikoa,,Bizkaia,10.000 biztanleko,14.2
2023,Farmazeutikoa,,Bizkaia,10.000 biztanleko,16.5
2019,Farmazeutikoa,,Bizkaia,10.000 biztanleko,16.0
2012,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,13.7
2017,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,15.2
2021,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,16.3
2015,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,14.5
2023,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,16.8
2013,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,14.0
2011,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,13.3
2010,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,12.9
2018,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,15.7
2022,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,16.9
2019,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,15.9
2014,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,14.5
2016,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,14.9
2020,Farmazeutikoa,,Gipuzkoa,10.000 biztanleko,16.3
2023,Farmazeutikoa,Emakumea,,10.000 biztanleko,26.1
2010,Farmazeutikoa,Emakumea,,10.000 biztanleko,21.3
2015,Farmazeutikoa,Emakumea,,10.000 biztanleko,23.3
2021,Farmazeutikoa,Emakumea,,10.000 biztanleko,25.7
2012,Farmazeutikoa,Emakumea,,10.000 biztanleko,21.9
2013,Farmazeutikoa,Emakumea,,10.000 biztanleko,22.4
2014,Farmazeutikoa,Emakumea,,10.000 biztanleko,22.9
2018,Farmazeutikoa,Emakumea,,10.000 biztanleko,24.7
2020,Farmazeutikoa,Emakumea,,10.000 biztanleko,25.3
2019,Farmazeutikoa,Emakumea,,10.000 biztanleko,24.9
2016,Farmazeutikoa,Emakumea,,10.000 biztanleko,23.9
2011,Farmazeutikoa,Emakumea,,10.000 biztanleko,21.7
2017,Farmazeutikoa,Emakumea,,10.000 biztanleko,24.4
2022,Farmazeutikoa,Emakumea,,10.000 biztanleko,26.3
2021,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,25.4
2014,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,23.4
2018,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,24.3
2010,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,21.2
2016,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,23.8
2011,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,22.1
2020,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,25.4
2017,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,24.1
2023,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,27.0
2022,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,27.4
2013,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,22.8
2019,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,24.7
2012,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,22.5
2015,Farmazeutikoa,Emakumea,Araba / Álava,10.000 biztanleko,23.2
2023,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,25.4
2011,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,22.1
2013,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,22.5
2017,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,24.4
2018,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,24.8
2012,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,22.1
2020,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,24.9
2010,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,21.9
2016,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,24.2
2022,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,25.8
2021,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,25.4
2019,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,24.8
2015,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,23.5
2014,Farmazeutikoa,Emakumea,Bizkaia,10.000 biztanleko,22.9
2023,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,26.8
2020,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,25.8
2010,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,20.3
2012,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,21.4
2016,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,23.5
2013,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,21.9
2017,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,24.5
2011,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,20.8
2019,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,25.2
2015,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,23.0
2021,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,26.3
2018,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,24.9
2014,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,22.7
2022,Farmazeutikoa,Emakumea,Gipuzkoa,10.000 biztanleko,26.7
2019,Farmazeutikoa,Gizona,,10.000 biztanleko,6.5
