Year,Series,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2022,Employment rate,,,,,Zuia,%,Zuia,76.9
2019,Employment rate,,,,,Zuia,%,Zuia,76.5
2015,Employment rate,,,,,Zuia,%,Zuia,74.5
2021,Employment rate,,,,,Zuia,%,Zuia,75.2
2010,Employment rate,,,,,Zuia,%,Zuia,73.4
2020,Employment rate,,,,,Zuia,%,Zuia,77.2
2018,Employment rate,,,,,Zuia,%,Zuia,76.8
2018,Employment rate,,,,,Zumaia,%,Zumaia,72.5
2015,Employment rate,,,,,Zumaia,%,Zumaia,68.0
2022,Employment rate,,,,,Zumaia,%,Zumaia,77.2
2021,Employment rate,,,,,Zumaia,%,Zumaia,74.1
2020,Employment rate,,,,,Zumaia,%,Zumaia,75.6
2019,Employment rate,,,,,Zumaia,%,Zumaia,73.9
2023,Employment rate,,,,,Zumaia,%,Zumaia,78.4
2010,Employment rate,,,,,Zumaia,%,Zumaia,67.9
2016,Employment rate,,,,,Zumaia,%,Zumaia,67.8
2018,Employment rate,,,,,Zumarraga,%,Zumarraga,69.9
2019,Employment rate,,,,,Zumarraga,%,Zumarraga,70.5
2015,Employment rate,,,,,Zumarraga,%,Zumarraga,66.8
2020,Employment rate,,,,,Zumarraga,%,Zumarraga,72.2
2023,Employment rate,,,,,Zumarraga,%,Zumarraga,74.5
2021,Employment rate,,,,,Zumarraga,%,Zumarraga,70.4
2016,Employment rate,,,,,Zumarraga,%,Zumarraga,66.9
2010,Employment rate,,,,,Zumarraga,%,Zumarraga,65.2
2022,Employment rate,,,,,Zumarraga,%,Zumarraga,71.8
2023,Employment rate,,,,Añana (county),,%,Añana (county),72.8
2018,Employment rate,,,,Añana (county),,%,Añana (county),68.0
2020,Employment rate,,,,Añana (county),,%,Añana (county),69.4
2021,Employment rate,,,,Añana (county),,%,Añana (county),68.8
2016,Employment rate,,,,Añana (county),,%,Añana (county),65.9
2022,Employment rate,,,,Añana (county),,%,Añana (county),71.2
2019,Employment rate,,,,Añana (county),,%,Añana (county),69.4
2010,Employment rate,,,,Añana (county),,%,Añana (county),66.9
2015,Employment rate,,,,Añana (county),,%,Añana (county),67.1
2019,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,66.3
2022,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,69.4
2020,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,65.5
2015,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,63.9
2010,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,62.3
2023,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,71.0
2016,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,62.4
2018,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,65.5
2021,Employment rate,,,,Arabako Errioxa / Rioja Alavesa,,%,Arabako Errioxa / Rioja Alavesa,66.6
2016,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.9
2022,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,73.2
2023,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,74.2
2021,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.3
2020,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.4
2010,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.8
2019,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,70.0
2018,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,68.9
2015,Employment rate,,,,Arabako Kantaurialdea / Cantábrica Alavesa,,%,Arabako Kantaurialdea / Cantábrica Alavesa,65.9
2019,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,71.5
2020,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,71.8
2016,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,68.0
2015,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,68.2
2018,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,70.7
2023,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,74.1
2010,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,67.2
2022,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,72.9
2021,Employment rate,,,,Arabako Lautada / Llanada Alavesa,,%,Arabako Lautada / Llanada Alavesa,70.8
2018,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,74.7
2010,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,72.2
2016,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,74.5
2019,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,76.6
2023,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,77.7
2015,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,73.5
2020,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,76.0
2021,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,75.0
2022,Employment rate,,,,Arabako Mendialdea / Montaña Alavesa,,%,Arabako Mendialdea / Montaña Alavesa,76.8
2010,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.8
2019,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,71.7
2022,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,72.3
2018,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,70.8
2016,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.8
2015,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,68.4
2020,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,71.6
2021,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,70.3
2023,Employment rate,,,,Arratia Nerbioi / Arratia-Nervión,,%,Arratia Nerbioi / Arratia-Nervión,74.4
2019,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,69.3
2021,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,69.1
2016,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,64.8
2018,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,68.4
2010,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,65.2
2020,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,69.5
2015,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,65.3
2022,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,71.2
2023,Employment rate,,,,Bidasoa Beherea / Bajo Bidasoa,,%,Bidasoa Beherea / Bajo Bidasoa,73.7
2010,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,63.7
2019,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,68.1
2021,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,68.1
2015,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,63.9
2023,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,72.4
2018,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,66.8
2016,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,64.0
2020,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,68.9
2022,Employment rate,,,,Bilbo Handia / Gran Bilbao,,%,Bilbo Handia / Gran Bilbao,70.0
2018,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,70.6
2023,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,74.8
2020,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,71.3
2016,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.7
2019,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,71.4
2022,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,72.7
2015,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.7
2021,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,70.8
2010,Employment rate,,,,Debabarrena / Bajo Deba,,%,Debabarrena / Bajo Deba,66.6
2016,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,69.1
2020,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.9
2021,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.1
2018,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,72.8
2022,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,75.0
2023,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,76.5
2015,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,68.8
2019,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,73.5
2010,Employment rate,,,,Debagoiena / Alto Deba,,%,Debagoiena / Alto Deba,68.8
2019,Employment rate,,,,Donostialdea,,%,Donostialdea,72.9
2022,Employment rate,,,,Donostialdea,,%,Donostialdea,74.3
2018,Employment rate,,,,Donostialdea,,%,Donostialdea,71.7
2023,Employment rate,,,,Donostialdea,,%,Donostialdea,76.5
2021,Employment rate,,,,Donostialdea,,%,Donostialdea,72.3
2010,Employment rate,,,,Donostialdea,,%,Donostialdea,67.5
2020,Employment rate,,,,Donostialdea,,%,Donostialdea,73.3
2016,Employment rate,,,,Donostialdea,,%,Donostialdea,68.6
2015,Employment rate,,,,Donostialdea,,%,Donostialdea,68.7
2019,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,72.1
2020,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,72.3
2022,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,73.9
2010,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,66.2
2018,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,71.0
2015,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,67.7
2023,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,76.1
2021,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,71.9
2016,Employment rate,,,,Durangaldea / Duranguesado,,%,Durangaldea / Duranguesado,68.6
2010,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,64.4
2021,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,67.4
2019,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,66.2
2015,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,62.4
2023,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,71.2
2018,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,65.2
2022,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,69.2
2016,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,62.1
2020,Employment rate,,,,Enkartazioak / Encartaciones,,%,Enkartazioak / Encartaciones,67.1
2023,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,73.0
2022,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,70.9
2019,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,68.6
2020,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,68.9
2016,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,65.1
2015,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,64.4
2018,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,67.7
2021,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,68.6
2010,Employment rate,,,,Gernika-Bermeo,,%,Gernika-Bermeo,64.4
2010,Employment rate,,,,Goierri,,%,Goierri,67.6
2019,Employment rate,,,,Goierri,,%,Goierri,73.4
2022,Employment rate,,,,Goierri,,%,Goierri,74.5
2020,Employment rate,,,,Goierri,,%,Goierri,74.0
2021,Employment rate,,,,Goierri,,%,Goierri,72.8
2015,Employment rate,,,,Goierri,,%,Goierri,69.1
2016,Employment rate,,,,Goierri,,%,Goierri,69.4
2018,Employment rate,,,,Goierri,,%,Goierri,72.3
2023,Employment rate,,,,Goierri,,%,Goierri,76.1
2010,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,73.0
2023,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,77.0
2020,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,76.2
2018,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,76.4
2019,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,75.8
2022,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,77.1
2016,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,73.1
2015,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,73.3
2021,Employment rate,,,,Gorbeialdea / Estribaciones del Gorbea,,%,Gorbeialdea / Estribaciones del Gorbea,74.7
2018,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,67.1
2015,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,64.5
2019,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,67.5
2016,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,64.7
2021,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,67.6
2022,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,70.9
2020,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,68.4
2010,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,64.2
2023,Employment rate,,,,Markina-Ondarroa,,%,Markina-Ondarroa,73.3
2019,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,72.1
2018,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,71.3
2015,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,68.9
2021,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,72.1
2023,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,76.4
2020,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,72.7
2022,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,73.9
2010,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,68.0
2016,Employment rate,,,,Plentzia-Mungia,,%,Plentzia-Mungia,69.0
2016,Employment rate,,,,Tolosaldea,,%,Tolosaldea,70.3
2020,Employment rate,,,,Tolosaldea,,%,Tolosaldea,74.5
2019,Employment rate,,,,Tolosaldea,,%,Tolosaldea,74.4
2015,Employment rate,,,,Tolosaldea,,%,Tolosaldea,69.6
2022,Employment rate,,,,Tolosaldea,,%,Tolosaldea,75.9
2018,Employment rate,,,,Tolosaldea,,%,Tolosaldea,73.0
2010,Employment rate,,,,Tolosaldea,,%,Tolosaldea,69.2
2023,Employment rate,,,,Tolosaldea,,%,Tolosaldea,77.6
2021,Employment rate,,,,Tolosaldea,,%,Tolosaldea,73.8
2015,Employment rate,,,,Urola Kosta,,%,Urola Kosta,68.0
2022,Employment rate,,,,Urola Kosta,,%,Urola Kosta,76.7
2019,Employment rate,,,,Urola Kosta,,%,Urola Kosta,73.9
2016,Employment rate,,,,Urola Kosta,,%,Urola Kosta,68.5
2021,Employment rate,,,,Urola Kosta,,%,Urola Kosta,73.9
2010,Employment rate,,,,Urola Kosta,,%,Urola Kosta,67.8
2020,Employment rate,,,,Urola Kosta,,%,Urola Kosta,74.6
2018,Employment rate,,,,Urola Kosta,,%,Urola Kosta,72.6
2023,Employment rate,,,,Urola Kosta,,%,Urola Kosta,78.3
2012,Employment rate,,,Araba/Álava,,,%,Araba/Álava,66.8
2010,Employment rate,,,Araba/Álava,,,%,Araba/Álava,68.4
2014,Employment rate,,,Araba/Álava,,,%,Araba/Álava,67.1
2018,Employment rate,,,Araba/Álava,,,%,Araba/Álava,73.6
2022,Employment rate,,,Araba/Álava,,,%,Araba/Álava,73.3
2015,Employment rate,,,Araba/Álava,,,%,Araba/Álava,68.4
2019,Employment rate,,,Araba/Álava,,,%,Araba/Álava,72.7
2021,Employment rate,,,Araba/Álava,,,%,Araba/Álava,73.1
2023,Employment rate,,,Araba/Álava,,,%,Araba/Álava,73.9
2020,Employment rate,,,Araba/Álava,,,%,Araba/Álava,71.6
2011,Employment rate,,,Araba/Álava,,,%,Araba/Álava,68.5
2013,Employment rate,,,Araba/Álava,,,%,Araba/Álava,65.8
2016,Employment rate,,,Araba/Álava,,,%,Araba/Álava,68.5
2017,Employment rate,,,Araba/Álava,,,%,Araba/Álava,70.9
2016,Employment rate,,,Bizkaia,,,%,Bizkaia,67.7
2010,Employment rate,,,Bizkaia,,,%,Bizkaia,66.9
2014,Employment rate,,,Bizkaia,,,%,Bizkaia,64.2
2018,Employment rate,,,Bizkaia,,,%,Bizkaia,70.3
2020,Employment rate,,,Bizkaia,,,%,Bizkaia,69.2
2015,Employment rate,,,Bizkaia,,,%,Bizkaia,66.0
2017,Employment rate,,,Bizkaia,,,%,Bizkaia,68.4
2021,Employment rate,,,Bizkaia,,,%,Bizkaia,70.6
2013,Employment rate,,,Bizkaia,,,%,Bizkaia,64.1
2011,Employment rate,,,Bizkaia,,,%,Bizkaia,65.5
2022,Employment rate,,,Bizkaia,,,%,Bizkaia,72.8
2023,Employment rate,,,Bizkaia,,,%,Bizkaia,73.2
2012,Employment rate,,,Bizkaia,,,%,Bizkaia,64.2
2019,Employment rate,,,Bizkaia,,,%,Bizkaia,71.1
2014,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,69.8
2020,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,73.4
2013,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,69.2
2011,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,71.0
2023,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,77.0
2022,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,76.3
2016,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,70.9
2012,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,69.5
2015,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,69.9
2019,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,75.1
2017,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,72.3
2021,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,74.2
2018,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,73.9
2010,Employment rate,,,Gipuzkoa,,,%,Gipuzkoa,70.6
2012,Employment rate,Female,,,,,%,,61.9
2011,Employment rate,Female,,,,,%,,62.3
2020,Employment rate,Female,,,,,%,,67.5
2015,Employment rate,Female,,,,,%,,63.8
2010,Employment rate,Female,,,,,%,,61.4
2019,Employment rate,Female,,,,,%,,68.5
2022,Employment rate,Female,,,,,%,,70.4
2016,Employment rate,Female,,,,,%,,65.0
2021,Employment rate,Female,,,,,%,,69.0
2017,Employment rate,Female,,,,,%,,66.0
2023,Employment rate,Female,,,,,%,,71.2
2018,Employment rate,Female,,,,,%,,67.6
2013,Employment rate,Female,,,,,%,,61.8
2014,Employment rate,Female,,,,,%,,62.6
2020,Employment rate,Female,,,,Abadiño,%,Abadiño,69.8
2023,Employment rate,Female,,,,Abadiño,%,Abadiño,73.2
2010,Employment rate,Female,,,,Abadiño,%,Abadiño,57.9
2016,Employment rate,Female,,,,Abadiño,%,Abadiño,63.4
2021,Employment rate,Female,,,,Abadiño,%,Abadiño,69.4
2015,Employment rate,Female,,,,Abadiño,%,Abadiño,63.6
2019,Employment rate,Female,,,,Abadiño,%,Abadiño,68.0
2022,Employment rate,Female,,,,Abadiño,%,Abadiño,71.4
2018,Employment rate,Female,,,,Abadiño,%,Abadiño,66.4
2010,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,65.1
2021,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,76.4
2015,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,71.6
2022,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,80.2
2018,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,66.3
2019,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,73.3
2016,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,67.1
2023,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,77.9
2020,Employment rate,Female,,,,Abaltzisketa,%,Abaltzisketa,80.0
2023,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,69.9
2020,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,64.8
2010,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,58.3
2016,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,58.5
2015,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,59.9
2019,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,63.2
2022,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,67.0
2021,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,64.9
2018,Employment rate,Female,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,61.4
2021,Employment rate,Female,,,,Aduna,%,Aduna,82.4
2023,Employment rate,Female,,,,Aduna,%,Aduna,87.9
2015,Employment rate,Female,,,,Aduna,%,Aduna,68.7
2020,Employment rate,Female,,,,Aduna,%,Aduna,78.5
2016,Employment rate,Female,,,,Aduna,%,Aduna,75.4
2010,Employment rate,Female,,,,Aduna,%,Aduna,67.4
2019,Employment rate,Female,,,,Aduna,%,Aduna,81.7
2018,Employment rate,Female,,,,Aduna,%,Aduna,81.9
2022,Employment rate,Female,,,,Aduna,%,Aduna,83.0
2010,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,62.4
2018,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,62.8
2023,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,68.8
2021,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,63.6
2019,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,62.3
2015,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,63.6
2020,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,64.4
2016,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,61.9
2022,Employment rate,Female,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,67.9
2021,Employment rate,Female,,,,Aia,%,Aia,74.9
2023,Employment rate,Female,,,,Aia,%,Aia,80.3
2010,Employment rate,Female,,,,Aia,%,Aia,67.6
2019,Employment rate,Female,,,,Aia,%,Aia,75.1
2016,Employment rate,Female,,,,Aia,%,Aia,71.6
2020,Employment rate,Female,,,,Aia,%,Aia,76.0
2018,Employment rate,Female,,,,Aia,%,Aia,73.3
2015,Employment rate,Female,,,,Aia,%,Aia,69.9
2022,Employment rate,Female,,,,Aia,%,Aia,77.0
2023,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,73.3
2010,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,62.1
2016,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,56.7
2020,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,69.5
2015,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,61.3
2021,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,65.6
2022,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,68.9
2019,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,67.1
2018,Employment rate,Female,,,,Aizarnazabal,%,Aizarnazabal,66.2
2022,Employment rate,Female,,,,Ajangiz,%,Ajangiz,78.3
2010,Employment rate,Female,,,,Ajangiz,%,Ajangiz,73.9
2016,Employment rate,Female,,,,Ajangiz,%,Ajangiz,79.9
2018,Employment rate,Female,,,,Ajangiz,%,Ajangiz,85.5
