Year,Series,Profession,Sex,Province,Units,Value
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",136.0
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Female,Gipuzkoa,"Per 10,000 inhabitants",130.6
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",15.1
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",14.5
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",14.5
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",14.9
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",12.5
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",13.9
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",14.3
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",16.4
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",20.9
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",15.6
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",18.3
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",17.5
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",13.4
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,,"Per 10,000 inhabitants",17.8
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",14.8
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",16.4
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",17.1
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",20.2
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",13.9
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",19.5
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",12.6
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",12.3
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",15.5
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",12.4
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",18.0
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",13.7
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",19.6
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Araba/Álava,"Per 10,000 inhabitants",12.3
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",21.6
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",20.8
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",22.5
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",17.9
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",17.0
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",18.5
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",19.4
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",15.9
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",17.6
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",15.2
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",16.5
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",16.1
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",21.0
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Bizkaia,"Per 10,000 inhabitants",16.2
2019,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",11.3
2014,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",9.7
2020,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",12.0
2022,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",12.5
2010,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",8.1
2016,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",10.5
2012,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",12.9
2018,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",10.7
2021,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",12.1
2013,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",9.4
2017,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",10.4
2015,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",10.1
2011,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",13.3
2023,Density and distribution of health care workers.,Nursing and midwifery professionals,Male,Gipuzkoa,"Per 10,000 inhabitants",18.7
2012,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",7.6
2022,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",9.0
2010,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",7.3
2017,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",8.5
2014,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",7.9
2016,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",8.4
2011,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",7.4
2020,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",8.7
2021,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",9.0
2015,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",8.2
2019,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",8.7
2013,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",7.8
2023,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",9.1
2018,Density and distribution of health care workers.,Dentist,,,"Per 10,000 inhabitants",8.6
2022,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.4
2013,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.0
2023,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.4
2017,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.3
2011,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",5.8
2021,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.6
2015,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.5
2014,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.3
2020,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.7
2010,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",5.6
2016,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.5
2012,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",5.7
2018,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.4
2019,Density and distribution of health care workers.,Dentist,,Araba/Álava,"Per 10,000 inhabitants",6.7
2023,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",9.3
2010,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",7.7
2016,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",8.7
2017,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",8.9
2022,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",9.3
2014,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",8.3
2020,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",9.1
2018,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",9.1
2012,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",7.9
2013,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",8.1
2019,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",9.1
2011,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",7.9
2015,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",8.5
2021,Density and distribution of health care workers.,Dentist,,Bizkaia,"Per 10,000 inhabitants",9.2
2020,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",9.1
2015,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.5
2012,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.0
2018,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.8
2014,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.0
2011,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",7.3
2016,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.7
2022,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",9.8
2019,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.9
2017,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.7
2021,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",9.7
2010,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",7.3
2013,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",8.1
2023,Density and distribution of health care workers.,Dentist,,Gipuzkoa,"Per 10,000 inhabitants",10.0
2020,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",11.1
2022,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",11.4
2013,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",9.3
2014,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",9.5
2016,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",10.2
2011,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",6.9
2015,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",9.9
2021,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",11.3
2012,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",9.0
2018,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",10.7
2019,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",10.7
2017,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",10.4
2010,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",6.8
2023,Density and distribution of health care workers.,Dentist,Female,,"Per 10,000 inhabitants",11.6
2016,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.3
2023,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.2
2011,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",5.6
2015,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.2
2019,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.5
2017,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",7.9
2010,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",5.4
2014,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.0
2012,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",7.2
2021,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.2
2013,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",7.7
2018,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.0
2022,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.1
2020,Density and distribution of health care workers.,Dentist,Female,Araba/Álava,"Per 10,000 inhabitants",8.5
2010,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",7.2
2020,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",11.4
2023,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",11.9
2018,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",11.2
2022,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",11.9
2021,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",11.7
2013,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",9.4
2011,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",7.3
2014,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",9.7
2015,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",10.1
2016,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",10.4
2012,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",9.2
2019,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",11.3
2017,Density and distribution of health care workers.,Dentist,Female,Bizkaia,"Per 10,000 inhabitants",10.8
2023,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",12.6
2017,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",10.8
2013,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",9.6
2014,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",9.8
2010,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",6.7
2022,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",12.2
2019,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",10.6
2011,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",6.7
2015,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",10.3
2016,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",10.7
2021,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",12.1
2018,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",11.1
2020,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",11.8
2012,Density and distribution of health care workers.,Dentist,Female,Gipuzkoa,"Per 10,000 inhabitants",9.5
2011,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",7.9
2018,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.4
2010,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",7.8
2023,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.4
2015,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.4
2014,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.2
2019,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.6
2016,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.4
2021,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.5
2012,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.1
2022,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.5
2020,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.2
2013,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.2
2017,Density and distribution of health care workers.,Dentist,Male,,"Per 10,000 inhabitants",6.4
2014,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.5
2021,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",5.0
2018,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2022,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2016,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2012,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.2
2015,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.7
2013,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.3
2017,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2019,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",5.0
2011,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",6.0
2020,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.9
2010,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",5.9
2023,Density and distribution of health care workers.,Dentist,Male,Araba/Álava,"Per 10,000 inhabitants",4.6
2011,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",8.4
2013,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.6
2021,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2018,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2022,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2020,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.5
2015,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2023,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2014,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.7
2010,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",8.3
2012,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.4
2016,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2019,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.8
2017,Density and distribution of health care workers.,Dentist,Male,Bizkaia,"Per 10,000 inhabitants",6.9
2020,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.4
2014,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.1
2021,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",7.2
2017,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2019,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",7.0
2015,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.6
2013,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2023,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",7.3
2011,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",8.0
2022,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",7.3
2018,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2012,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.5
2016,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",6.6
2010,Density and distribution of health care workers.,Dentist,Male,Gipuzkoa,"Per 10,000 inhabitants",7.9
2019,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",16.0
2022,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",16.8
2015,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",14.9
2020,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",16.2
2021,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",16.4
2017,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",15.6
2013,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",14.4
2010,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",13.6
2014,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",14.7
2018,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",15.9
2011,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",13.8
2023,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",16.7
2012,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",14.1
2016,Density and distribution of health care workers.,Pharmacist,,,"Per 10,000 inhabitants",15.4
2012,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",14.4
2022,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",17.3
2023,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",17.1
2018,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",16.0
2016,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",15.7
2013,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",14.7
2017,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",15.8
2020,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",16.5
2021,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",16.5
2010,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",13.8
2015,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",15.2
2014,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",15.0
2011,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",14.1
2019,Density and distribution of health care workers.,Pharmacist,,Araba/Álava,"Per 10,000 inhabitants",16.2
2021,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",16.4
2017,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",15.8
2013,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",14.5
2011,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",14.1
2012,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",14.2
2014,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",14.8
2020,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",16.1
2015,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",15.2
2016,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",15.6
2019,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",16.0
2010,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",14.0
2018,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",16.0
2022,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",16.6
2023,Density and distribution of health care workers.,Pharmacist,,Bizkaia,"Per 10,000 inhabitants",16.5
2019,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",15.9
2011,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",13.3
2023,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",16.8
2015,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2014,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",14.5
2010,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",12.9
2021,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",16.3
2013,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",14.0
2018,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",15.7
2012,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",13.7
2020,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",16.3
2016,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",14.9
2017,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",15.2
2022,Density and distribution of health care workers.,Pharmacist,,Gipuzkoa,"Per 10,000 inhabitants",16.9
