Year,Series,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2016,Tasa de ocupación,Mujer,,,,Elciego,%,Elciego,57.1
2022,Tasa de ocupación,Mujer,,,,Elciego,%,Elciego,71.6
2023,Tasa de ocupación,Mujer,,,,Elciego,%,Elciego,67.9
2021,Tasa de ocupación,Mujer,,,,Elciego,%,Elciego,61.2
2020,Tasa de ocupación,Mujer,,,,Elciego,%,Elciego,59.2
2020,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,84.4
2021,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,79.4
2023,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,84.1
2015,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,76.6
2022,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,80.3
2018,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,88.5
2016,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,81.7
2010,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,63.2
2019,Tasa de ocupación,Mujer,,,,Elduain,%,Elduain,81.8
2018,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,74.5
2015,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,69.0
2019,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,76.5
2022,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,76.6
2016,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,72.3
2020,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,77.2
2023,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,77.5
2021,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,73.8
2010,Tasa de ocupación,Mujer,,,,Elgeta,%,Elgeta,64.7
2016,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,62.1
2020,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,67.9
2019,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,67.0
2010,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,60.3
2023,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,71.6
2015,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,63.2
2018,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,65.3
2021,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,67.9
2022,Tasa de ocupación,Mujer,,,,Elgoibar,%,Elgoibar,69.1
2022,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,70.3
2010,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,59.2
2021,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,69.0
2016,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,64.4
2015,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,63.6
2019,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,67.6
2020,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,68.0
2023,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,73.6
2018,Tasa de ocupación,Mujer,,,,Elorrio,%,Elorrio,67.7
2019,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,68.0
2015,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,60.4
2023,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,81.7
2010,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,63.7
2018,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,64.4
2016,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,63.3
2021,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,66.7
2020,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,68.7
2022,Tasa de ocupación,Mujer,,,,Elvillar/Bilar,%,Elvillar/Bilar,73.5
2015,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,61.6
2010,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,56.2
2022,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,70.5
2018,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,66.0
2021,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,67.9
2016,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,62.0
2020,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,68.9
2019,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,67.1
2023,Tasa de ocupación,Mujer,,,,Erandio,%,Erandio,73.0
2023,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,79.7
2022,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,76.9
2020,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,75.0
2018,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,77.3
2010,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,66.7
2021,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,82.0
2015,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,72.5
2019,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,77.3
2016,Tasa de ocupación,Mujer,,,,Ereño,%,Ereño,69.7
2015,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,56.7
2010,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,54.1
2023,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,67.6
2021,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,62.7
2019,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,62.8
2022,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,64.8
2018,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,61.4
2016,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,58.1
2020,Tasa de ocupación,Mujer,,,,Ermua,%,Ermua,63.3
2022,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,73.2
2016,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,64.0
2021,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,70.5
2010,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,60.7
2023,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,74.8
2019,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,70.2
2020,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,71.0
2015,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,64.5
2018,Tasa de ocupación,Mujer,,,,Errenteria,%,Errenteria,68.9
2021,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,78.0
2023,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,76.2
2020,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,81.0
2016,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,73.4
2010,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,60.5
2019,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,75.9
2018,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,72.3
2022,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,80.4
2015,Tasa de ocupación,Mujer,,,,Errezil,%,Errezil,64.0
2010,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,73.7
2019,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,70.2
2021,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,75.3
2018,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,67.1
2020,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,75.1
2016,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,70.2
2015,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,69.3
2023,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,80.4
2022,Tasa de ocupación,Mujer,,,,Erriberagoitia/Ribera Alta,%,Erriberagoitia/Ribera Alta,79.9
2016,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,67.4
2021,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,72.9
2010,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,64.2
2019,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,71.0
2020,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,72.3
2023,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,72.3
2022,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,71.0
2015,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,65.4
2018,Tasa de ocupación,Mujer,,,,Errigoiti,%,Errigoiti,71.5
2018,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,70.4
2021,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,73.0
2010,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,65.2
2023,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,76.0
2015,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,67.3
2016,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,65.6
2022,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,74.6
2019,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,72.4
2020,Tasa de ocupación,Mujer,,,,Eskoriatza,%,Eskoriatza,71.9
2010,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,63.5
2018,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,71.1
2020,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,74.7
2016,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,68.7
2023,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,78.0
2021,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,74.3
2022,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,76.9
2019,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,73.3
2015,Tasa de ocupación,Mujer,,,,Etxebarri,%,Etxebarri,68.9
2023,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,77.4
2010,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,71.2
2020,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,70.9
2018,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,72.6
2019,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,72.5
2016,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,72.1
2021,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,73.7
2022,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,76.6
2015,Tasa de ocupación,Mujer,,,,Etxebarria,%,Etxebarria,71.8
2018,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,75.4
2015,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,75.6
2016,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,75.1
2022,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,76.8
2023,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,81.3
2020,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,82.6
2021,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,75.1
2019,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,81.1
2010,Tasa de ocupación,Mujer,,,,Ezkio-Itsaso,%,Ezkio-Itsaso,68.0
2021,Tasa de ocupación,Mujer,,,,Forua,%,Forua,65.2
2018,Tasa de ocupación,Mujer,,,,Forua,%,Forua,62.8
2020,Tasa de ocupación,Mujer,,,,Forua,%,Forua,64.4
2015,Tasa de ocupación,Mujer,,,,Forua,%,Forua,60.6
2023,Tasa de ocupación,Mujer,,,,Forua,%,Forua,72.3
2022,Tasa de ocupación,Mujer,,,,Forua,%,Forua,65.9
2010,Tasa de ocupación,Mujer,,,,Forua,%,Forua,63.4
2019,Tasa de ocupación,Mujer,,,,Forua,%,Forua,65.0
2016,Tasa de ocupación,Mujer,,,,Forua,%,Forua,61.9
2018,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,74.1
2019,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,73.2
2023,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,79.9
2022,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,79.4
2020,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,74.4
2021,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,77.6
2016,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,73.1
2010,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,74.8
2015,Tasa de ocupación,Mujer,,,,Fruiz,%,Fruiz,73.7
2018,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,73.6
2019,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,77.2
2020,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,75.6
2023,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,81.5
2022,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,77.6
2010,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,65.6
2015,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,74.4
2021,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,75.9
2016,Tasa de ocupación,Mujer,,,,Gabiria,%,Gabiria,77.8
2016,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,80.0
2010,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,67.7
2021,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,75.0
2022,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,80.0
2018,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,73.3
2020,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,73.1
2023,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,80.0
2015,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,72.4
2019,Tasa de ocupación,Mujer,,,,Gaintza,%,Gaintza,88.5
2023,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,73.2
2015,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,62.5
2020,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,69.5
2018,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,66.3
2019,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,68.2
2010,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,59.7
2022,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,70.9
2016,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,63.4
2021,Tasa de ocupación,Mujer,,,,Galdakao,%,Galdakao,69.1
2020,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,62.3
2016,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,61.5
2019,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,60.9
2021,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,64.5
2015,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,60.5
2023,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,67.3
2010,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,58.0
2022,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,65.2
2018,Tasa de ocupación,Mujer,,,,Galdames,%,Galdames,64.5
2021,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,67.1
2019,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,65.8
2022,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,70.6
2018,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,65.0
2010,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,60.7
2015,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,64.1
2023,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,72.3
2020,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,67.9
2016,Tasa de ocupación,Mujer,,,,Gamiz-Fika,%,Gamiz-Fika,63.6
2023,Tasa de ocupación,Mujer,,,,Garai,%,Garai,78.9
2015,Tasa de ocupación,Mujer,,,,Garai,%,Garai,69.8
2021,Tasa de ocupación,Mujer,,,,Garai,%,Garai,74.2
2020,Tasa de ocupación,Mujer,,,,Garai,%,Garai,75.5
2010,Tasa de ocupación,Mujer,,,,Garai,%,Garai,74.0
2022,Tasa de ocupación,Mujer,,,,Garai,%,Garai,78.5
2018,Tasa de ocupación,Mujer,,,,Garai,%,Garai,75.0
2019,Tasa de ocupación,Mujer,,,,Garai,%,Garai,78.5
2016,Tasa de ocupación,Mujer,,,,Garai,%,Garai,67.8
2018,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,72.3
2015,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,67.6
2010,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,63.6
2019,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,73.0
2021,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,73.3
2022,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,72.7
2020,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,73.4
2023,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,74.9
2016,Tasa de ocupación,Mujer,,,,Gatika,%,Gatika,69.0
2018,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,66.0
2023,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,75.1
2016,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,67.5
2015,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,63.8
2019,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,66.2
2010,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,64.5
2021,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,72.3
2022,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,74.9
2020,Tasa de ocupación,Mujer,,,,Gautegiz Arteaga,%,Gautegiz Arteaga,70.2
2023,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,80.4
2010,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,57.1
2016,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,68.3
2015,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,76.7
2019,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,73.2
2022,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,72.3
2018,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,70.7
2020,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,70.0
2021,Tasa de ocupación,Mujer,,,,Gaztelu,%,Gaztelu,70.5
2020,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,69.5
2023,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,73.4
2016,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,64.6
2019,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,69.0
2022,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,71.5
2018,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,67.4
2015,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,63.6
2021,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,69.2
2010,Tasa de ocupación,Mujer,,,,Gernika-Lumo,%,Gernika-Lumo,60.3
2021,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,75.0
2015,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,69.0
2018,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,73.7
2016,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,67.7
2022,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,76.6
2023,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,79.4
2020,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,74.9
2010,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,64.7
2019,Tasa de ocupación,Mujer,,,,Getaria,%,Getaria,75.1
2015,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,61.5
2023,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,71.8
2019,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,65.0
2016,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,61.2
2020,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,66.4
2021,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,67.0
2022,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,68.5
2018,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,63.9
2010,Tasa de ocupación,Mujer,,,,Getxo,%,Getxo,57.2
2021,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,75.0
2023,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,80.4
2022,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,77.6
2018,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,72.4
2010,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,75.9
2015,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,72.1
2020,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,67.9
2019,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,66.7
2016,Tasa de ocupación,Mujer,,,,Gizaburuaga,%,Gizaburuaga,74.5
2015,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,66.8
2018,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,67.8
2020,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,69.4
2016,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,65.5
2022,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,73.9
2021,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,72.1
2019,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,68.5
2010,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,61.3
2023,Tasa de ocupación,Mujer,,,,Gordexola,%,Gordexola,76.5
2010,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,61.9
2019,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,67.9
2022,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,69.6
2016,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,64.1
2023,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,72.4
2021,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,68.6
2015,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,64.8
2020,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,69.9
2018,Tasa de ocupación,Mujer,,,,Gorliz,%,Gorliz,65.5
2022,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,69.0
2021,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,68.5
2015,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,62.4
2019,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,65.3
2018,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,63.5
2016,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,60.4
2023,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,71.2
2020,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,67.4
2010,Tasa de ocupación,Mujer,,,,Güeñes,%,Güeñes,58.9
2023,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,69.2
2019,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,68.8
2018,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,75.0
2016,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,66.0
2015,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,74.0
2020,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,68.8
2022,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,67.9
2010,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,53.5
2021,Tasa de ocupación,Mujer,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,74.0
2018,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,70.7
2021,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,71.9
2020,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,73.4
2010,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,63.6
2023,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,75.8
2016,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,66.8
2019,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,71.6
2022,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,74.3
2015,Tasa de ocupación,Mujer,,,,Hernani,%,Hernani,66.6
2010,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,74.0
2022,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,71.4
2016,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,68.9
2021,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,67.4
2018,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,74.5
2020,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,72.7
2019,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,75.5
2015,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,74.8
2023,Tasa de ocupación,Mujer,,,,Hernialde,%,Hernialde,71.9
2010,Tasa de ocupación,Mujer,,,,Hondarribia,%,Hondarribia,61.5
2022,Tasa de ocupación,Mujer,,,,Hondarribia,%,Hondarribia,72.6
