Year,Series,Non-communicable disease,Sex,Province,County,Municipality,Units,GeoCode,Value
2018,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,368.8
2013,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,257.5
2021,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,359.0
2018,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,97.9
2012,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,86.7
2016,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,378.1
2015,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,96.3
2010,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,78.0
2020,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,63.3
2011,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,364.9
2013,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,15.9
2011,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,82.4
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,711.4
2023,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,70.8
2021,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,69.7
2019,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,87.8
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,757.3
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,757.1
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,780.4
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,747.2
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,762.8
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,759.5
2017,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,16.8
2020,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,364.7
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,750.8
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,695.5
2013,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,371.4
2016,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,91.3
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,738.0
2020,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,259.9
2019,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,274.1
2018,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,282.4
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,708.7
2017,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,276.1
2022,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,19.5
2012,Mortality rate,Cancer,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,378.8
2020,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,23.6
2018,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,18.0
2023,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,260.1
2015,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,285.4
2012,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,19.2
2013,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,80.9
2014,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,258.1
2021,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,261.8
2016,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,19.3
2017,Mortality rate,Chronic respiratory diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,97.0
2011,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,22.0
2014,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,18.9
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,716.3
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,767.2
2022,Mortality rate,Cardiovascular diseases,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,264.0
2010,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,19.0
2019,Mortality rate,Diabetes,Male,Bizkaia,,,"Per 100,000 inhabitants",Bizkaia,20.5
2023,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,61.9
2012,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,73.0
2020,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,59.4
2013,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,72.3
2017,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,247.2
2020,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,651.5
2016,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,670.5
2017,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,685.7
2017,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,84.9
2011,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,335.3
2021,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,672.4
2012,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,675.4
2022,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,675.0
2013,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,667.2
2014,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,231.4
2014,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,672.6
2017,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,337.0
2016,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,249.1
2015,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,668.6
2016,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,79.3
2023,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,691.4
2015,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,85.4
2011,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,666.9
2019,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,643.3
2011,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,72.1
2022,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,24.5
2013,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,326.7
2020,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,21.6
2021,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,17.4
2012,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,340.9
2021,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,317.7
2018,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,691.1
2013,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,245.4
2013,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.8
2010,Mortality rate,"Cardiovascular diseases, chronic respiratory diseases, cancer, or diabetes",Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,666.4
2019,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,79.1
2010,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,72.6
2020,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,333.5
2015,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,229.2
2018,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,22.0
2021,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,271.2
2016,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,19.0
2014,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,19.0
2012,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,18.8
2012,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,242.7
2010,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,247.5
2011,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,17.1
2019,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,17.6
2023,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,23.6
2017,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,16.6
2022,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,254.1
2011,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,242.4
2015,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,17.8
2022,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,333.9
2018,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,346.0
2014,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,343.9
2018,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,242.8
2010,Mortality rate,Diabetes,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,23.2
2023,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,254.9
2020,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,236.9
2010,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,323.0
2023,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,350.9
2018,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,80.4
2019,Mortality rate,Cardiovascular diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,238.3
2015,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,336.2
2016,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,323.2
2019,Mortality rate,Cancer,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,308.3
2014,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,78.3
2021,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,66.2
2022,Mortality rate,Chronic respiratory diseases,Male,Gipuzkoa,,,"Per 100,000 inhabitants",Gipuzkoa,62.5
