Year,Series,Edad,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,63.3
2010,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.3
2018,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,61.1
2021,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,60.4
2020,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,61.8
2023,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,59.1
2016,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,60.9
2015,Tasa de ocupación,16 años y más,,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,59.4
2019,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,49.7
2015,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,52.3
2018,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,49.7
2023,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,49.3
2021,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,48.9
2010,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,52.0
2022,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,49.2
2020,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,49.4
2016,Tasa de ocupación,16 años y más,,,,,Ispaster,%,Ispaster,52.0
2022,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,55.7
2015,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,52.0
2021,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,52.7
2023,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,57.3
2018,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,53.7
2010,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,52.7
2020,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,56.2
2016,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,50.9
2019,Tasa de ocupación,16 años y más,,,,,Itsasondo,%,Itsasondo,52.7
2021,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,48.4
2016,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,47.1
2019,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,48.8
2018,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,48.2
2023,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,51.0
2020,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,48.5
2010,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,48.0
2015,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,45.9
2022,Tasa de ocupación,16 años y más,,,,,Iurreta,%,Iurreta,51.1
2016,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,52.1
2019,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,51.0
2015,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,56.7
2021,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,50.7
2018,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,52.5
2010,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,52.9
2020,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,45.8
2022,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,52.3
2023,Tasa de ocupación,16 años y más,,,,,Izurtza,%,Izurtza,50.9
2021,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,42.7
2019,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,40.9
2023,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,45.5
2020,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,41.4
2022,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,44.1
2016,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,39.4
2010,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,44.9
2015,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,41.2
2018,Tasa de ocupación,16 años y más,,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,40.6
2016,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,57.2
2022,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,58.3
2021,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,58.0
2023,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,56.3
2020,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,56.4
2010,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,57.7
2019,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,57.4
2018,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,58.5
2015,Tasa de ocupación,16 años y más,,,,,Kortezubi,%,Kortezubi,53.6
2021,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,43.9
2020,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,47.2
2022,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,52.7
2023,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,52.1
2018,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,45.9
2016,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,44.6
2019,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,46.3
2010,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,46.2
2015,Tasa de ocupación,16 años y más,,,,,Kripan,%,Kripan,47.1
2018,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,52.5
2015,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,53.5
2019,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,52.2
2016,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,55.6
2021,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,52.4
2023,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,55.8
2022,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,55.4
2020,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,52.3
2010,Tasa de ocupación,16 años y más,,,,,Kuartango,%,Kuartango,54.6
2015,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,46.0
2023,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,52.4
2019,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,47.2
2016,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,45.5
2020,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,46.8
2022,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,52.2
2021,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,47.3
2018,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,46.4
2010,Tasa de ocupación,16 años y más,,,,,Labastida/Bastida,%,Labastida/Bastida,48.2
2019,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,38.9
2015,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,42.9
2016,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,41.0
2023,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,42.6
2022,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,44.0
2021,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,40.8
2020,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,40.6
2010,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,41.4
2018,Tasa de ocupación,16 años y más,,,,,Lagrán,%,Lagrán,37.6
2023,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,53.7
2010,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,52.0
2022,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,54.3
2019,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,53.9
2015,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,52.8
2020,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,54.2
2016,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,51.8
2021,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,52.8
2018,Tasa de ocupación,16 años y más,,,,,Laguardia,%,Laguardia,53.8
2022,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,47.4
2021,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,46.3
2019,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,45.9
2010,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,44.7
2016,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,41.3
2020,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,45.1
2023,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,46.3
2015,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,44.0
2018,Tasa de ocupación,16 años y más,,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,43.6
2023,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,39.0
2019,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,38.9
2018,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,37.5
2010,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,35.3
2022,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,41.7
2015,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,37.1
2016,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,32.0
2021,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,40.5
2020,Tasa de ocupación,16 años y más,,,,,Lanestosa,%,Lanestosa,39.4
2019,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,48.1
2020,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,46.1
2018,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,47.1
2016,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,43.9
2015,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,45.3
2022,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,45.5
2010,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,44.1
2021,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,44.7
2023,Tasa de ocupación,16 años y más,,,,,Lantarón,%,Lantarón,45.0
2018,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,50.0
2023,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,51.8
2022,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,49.3
2019,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,50.2
2015,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,46.9
2016,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,47.9
2021,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,49.0
2010,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,46.8
2020,Tasa de ocupación,16 años y más,,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,48.0
2023,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,58.9
2018,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,58.6
2010,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,57.2
2019,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,58.7
2022,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,57.5
2020,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,57.7
2016,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,58.0
2021,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,55.9
2015,Tasa de ocupación,16 años y más,,,,,Larrabetzu,%,Larrabetzu,58.6
2022,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,60.0
2018,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,66.1
2016,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,60.8
2020,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,64.8
2021,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,60.8
2010,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,69.4
2015,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,58.9
2019,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,63.3
2023,Tasa de ocupación,16 años y más,,,,,Larraul,%,Larraul,61.0
2015,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,48.6
2022,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,52.9
2016,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,48.2
2020,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,51.3
2018,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,50.1
2010,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,50.4
2023,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,53.3
2021,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,50.8
2019,Tasa de ocupación,16 años y más,,,,,Lasarte-Oria,%,Lasarte-Oria,51.1
2021,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,46.7
2022,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,48.8
2016,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,45.6
2019,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,47.2
2023,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,48.9
2015,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,45.8
2020,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,47.5
2018,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,47.0
2010,Tasa de ocupación,16 años y más,,,,,Laudio/Llodio,%,Laudio/Llodio,48.1
2016,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,51.2
2022,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,53.4
2021,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,51.2
2020,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,51.0
2018,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,50.6
2010,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,54.7
2023,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,55.8
2015,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,51.8
2019,Tasa de ocupación,16 años y más,,,,,Laukiz,%,Laukiz,51.6
2010,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,52.7
2015,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,52.8
2020,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,56.2
2016,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,53.8
2018,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,55.5
2023,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,57.7
2022,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,57.5
2021,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,55.4
2019,Tasa de ocupación,16 años y más,,,,,Lazkao,%,Lazkao,56.0
2023,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,53.8
2022,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,52.3
2010,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,52.7
2016,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,49.2
2015,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,49.2
2021,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,52.0
2019,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,51.4
2018,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,52.5
2020,Tasa de ocupación,16 años y más,,,,,Leaburu,%,Leaburu,52.2
2016,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,47.7
2015,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,48.0
2022,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,50.0
2010,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,49.0
2021,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,48.9
2018,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,49.5
2023,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,51.0
2020,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,50.1
2019,Tasa de ocupación,16 años y más,,,,,Legazpi,%,Legazpi,50.3
2018,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,50.9
2015,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,50.5
2016,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,50.4
2023,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,54.4
2021,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,52.2
2020,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,52.4
2019,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,52.3
2010,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,51.9
2022,Tasa de ocupación,16 años y más,,,,,Legorreta,%,Legorreta,54.4
2015,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,57.1
2018,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,59.8
2016,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,56.0
2022,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,58.1
2020,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,57.3
2010,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,57.0
2021,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,55.2
2019,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,57.0
2023,Tasa de ocupación,16 años y más,,,,,Legutio,%,Legutio,57.0
2010,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,56.8
2022,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,53.1
2016,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,55.9
2015,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,56.0
2021,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,51.2
2023,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,53.7
2019,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,59.2
2018,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,56.5
2020,Tasa de ocupación,16 años y más,,,,,Leintz-Gatzaga,%,Leintz-Gatzaga,57.4
2010,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,53.5
2016,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,51.9
2019,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,53.7
2018,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,53.1
2020,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,53.8
2021,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,52.9
2023,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,55.2
2022,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,54.0
2015,Tasa de ocupación,16 años y más,,,,,Leioa,%,Leioa,52.1
2020,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,45.8
2010,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,45.4
2019,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,45.4
2016,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,43.7
2018,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,44.8
2021,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,45.6
2022,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,46.9
2015,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,44.7
2023,Tasa de ocupación,16 años y más,,,,,Lekeitio,%,Lekeitio,48.5
2020,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,55.7
2010,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,53.5
2022,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,57.0
2018,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,55.6
2021,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,56.1
2019,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,55.8
2016,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,54.7
2023,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,58.9
2015,Tasa de ocupación,16 años y más,,,,,Lemoa,%,Lemoa,54.0
2019,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,60.2
2020,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,61.2
2016,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,58.1
2010,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,54.3
2022,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,59.3
2018,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,59.7
2021,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,57.7
2015,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,57.9
2023,Tasa de ocupación,16 años y más,,,,,Lemoiz,%,Lemoiz,59.8
2019,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,47.3
2015,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,51.6
2023,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,49.2
2018,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,46.7
2022,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,49.7
2021,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,48.1
2016,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,46.5
2010,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,50.7
2020,Tasa de ocupación,16 años y más,,,,,Leza,%,Leza,47.1
2020,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,55.3
2010,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,55.8
2022,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,56.1
2019,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,54.6
2016,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,55.3
2021,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,53.3
2015,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,54.7
2023,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,56.9
2018,Tasa de ocupación,16 años y más,,,,,Lezama,%,Lezama,55.0
2021,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,55.8
2015,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,54.4
2010,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,56.8
2022,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,57.8
2019,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,56.7
2016,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,55.2
2020,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,56.8
2018,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,56.6
2023,Tasa de ocupación,16 años y más,,,,,Lezo,%,Lezo,57.6
2016,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,52.0
2010,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,52.4
2021,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,50.1
2023,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,51.9
2020,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,51.0
2022,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,51.7
2015,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,49.9
2018,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,49.6
2019,Tasa de ocupación,16 años y más,,,,,Lizartza,%,Lizartza,48.6
2015,Tasa de ocupación,16 años y más,,,,,Loiu,%,Loiu,52.5
2019,Tasa de ocupación,16 años y más,,,,,Loiu,%,Loiu,50.3
2022,Tasa de ocupación,16 años y más,,,,,Loiu,%,Loiu,53.6
2010,Tasa de ocupación,16 años y más,,,,,Loiu,%,Loiu,50.5
2023,Tasa de ocupación,16 años y más,,,,,Loiu,%,Loiu,54.6
2021,Tasa de ocupación,16 años y más,,,,,Loiu,%,Loiu,48.9
